ord,emm,mun,yr,dextra,edon,inegi,ife,part,dmujer,incumbent,race.after,runnerup,part2nd,mg,ddied,drepe,drepg,dlegacy,who,prior.inc.part,inc.part.after,notes,source
7909,mex-11.004,ALMOLOYA DE ALQUISIRAS,2003,0,15,15004,15004,pri-pvem,0,CRUZ JUVENAL ROA SANCHEZ,Term-limited-p-won,,prd,0.23602719,0,0,0,,,incumbent out,incumbent out,,
7910,mex-12.004,ALMOLOYA DE ALQUISIRAS,2006,0,15,15004,15004,pri-pvem,0,GABRIEL VAZQUEZ MONDRAGON,Term-limited-p-lost,,prd-pt,0.073564484,0,0,0,,,incumbent out,incumbent out,,
7911,mex-13.004,ALMOLOYA DE ALQUISIRAS,2009,0,15,15004,15004,pan,0,FRANCISCO RODRIGUEZ POSADA,Term-limited-p-lost,,pri-pvem-pna-psd-pfd,0.205595409,0,0,0,,,incumbent out,incumbent out,,
7912,mex-14.004,ALMOLOYA DE ALQUISIRAS,2012,0,15,15004,15004,pri-pvem-pna,0,ARTEMIO GOMEZ CRUZ,Term-limited-p-won,,pan,0.032500637,0,0,0,,,incumbent out,incumbent out,,
7913,mex-15.004,ALMOLOYA DE ALQUISIRAS,2015,0,15,15004,15004,pri-pvem-pna,0,ALFREDO VICTORIA LOPEZ,Out-p-won,,pan,0.037510068,0,0,0,,,incumbent out,incumbent out,,
7914,mex-16.004,ALMOLOYA DE ALQUISIRAS,2018,0,15,15004,15004,pri,0,ARI PATRICK MENDIOLA MONDRAGON,Out-p-won,,pt-morena-pes,0.318923891,0,0,0,,,incumbent out,incumbent out,,
7915,mex-17.004,ALMOLOYA DE ALQUISIRAS,2021,0,15,15004,15004,pan-pri-prd,0,LEOPOLDO DOMINGUEZ FLORES,Out-p-lost,,pt-morena-pna,0.682289714,0,,,,,incumbent out,2024,,
7916,mex-18.004,ALMOLOYA DE ALQUISIRAS,2024,0,15,15004,15004,morena,1,BRENDA ANGELICA RIVERA ABARCA,2027,,pan-pri-prd-pna,0.6763,,,,,,,,,
7920,mex-10.005,ALMOLOYA DE JUAREZ,2000,0,15,15005,15005,pan,0,ROMAN EVARISTO VELAZQUEZ MONDRAGON,Term-limited-p-lost,,pri,0.017720915,0,0,0,,,incumbent out,incumbent out,,
7921,mex-11.005,ALMOLOYA DE JUAREZ,2003,0,15,15005,15005,pri-pvem,0,BENITO MANGU CHIGORA,Term-limited-p-won,,prd,0.12036456,0,0,0,,,incumbent out,incumbent out,,
7922,mex-12.005,ALMOLOYA DE JUAREZ,2006,0,15,15005,15005,pri-pvem,0,JORGE ALVAREZ COLIN,Term-limited-p-won,,prd-pt,0.067831685,0,0,0,,,incumbent out,incumbent out,,
7923,mex-13.005,ALMOLOYA DE JUAREZ,2009,0,15,15005,15005,pri-pvem-pna-psd-pfd,1,BLANCA ESTELA GOMEZ CARMONA,Term-limited-p-won,,pt,0.092896279,0,0,0,,,incumbent out,incumbent out,,
7924,mex-14.005,ALMOLOYA DE JUAREZ,2012,0,15,15005,15005,pri-pvem-pna,0,VICENTE ESTRADA INIESTA,Term-limited-p-won,,prd-pt-mc,0.260593788,0,0,0,,,incumbent out,incumbent out,,
7925,mex-15.005,ALMOLOYA DE JUAREZ,2015,0,15,15005,15005,pri,0,ADOLFO JONATHAN SOLIS GOMEZ,Out-p-lost,,prd,0.198671157,0,0,0,,,incumbent out,incumbent out,,
7926,mex-16.005,ALMOLOYA DE JUAREZ,2018,0,15,15005,15005,morena,0,LUIS MAYA DORO,Out-p-lost,,pri,0.045576333,0,1,1,,,incumbent out,incumbent out,,
7927,mex-17.005,ALMOLOYA DE JUAREZ,2021,0,15,15005,15005,pri,0,OSCAR SANCHEZ GARCIA,Reran-beaten,,pt-morena-pna,0.093479875,0,,,,,incumbent out,2024,,
7928,mex-18.005,ALMOLOYA DE JUAREZ,2024,0,15,15005,15005,pvem-pt-morena,0,ADOLFO JONATHAN SOLIS GOMEZ,2027,OSCAR SANCHEZ GARCIA,pri,0.0155,,,,,,,,,
7932,mex-10.006,ALMOLOYA DEL RIO,2000,0,15,15006,15006,prd,0,LUIS ANZASTIGA ALVAREZ,Term-limited-p-lost,,pri,0.015208034,0,0,0,,,incumbent out,incumbent out,,
7933,mex-11.006,ALMOLOYA DEL RIO,2003,0,15,15006,15006,pri-pvem,0,DARIO SILVA GARCIA,Term-limited-p-won,,pan,0.034950895,0,0,0,,,incumbent out,incumbent out,,
7934,mex-12.006,ALMOLOYA DEL RIO,2006,0,15,15006,15006,pri-pvem,0,JACOBO VAZQUEZ CASTILLO,Term-limited-p-lost,,prd,0.125296131,0,0,0,,,incumbent out,incumbent out,,
7935,mex-13.006,ALMOLOYA DEL RIO,2009,0,15,15006,15006,pt,0,APOLONIO FONSECA CASTAÑEDA,Term-limited-p-lost,,conve,0.024293194,0,0,0,,,incumbent out,incumbent out,,
7936,mex-14.006,ALMOLOYA DEL RIO,2012,0,15,15006,15006,pri-pvem-pna,0,JUAN CARLOS GUTIERREZ BOBADILLA,Term-limited-p-won,,prd,0.144452859,0,0,0,,,incumbent out,incumbent out,,
7937,mex-15.006,ALMOLOYA DEL RIO,2015,0,15,15006,15006,pri-pvem-pna,0,MARGARITO TEJAS ARCADIO,Out-p-lost,,prd,0.058577406,0,0,0,,,incumbent out,incumbent out,,
7938,mex-16.006,ALMOLOYA DEL RIO,2018,0,15,15006,15006,pan-prd-mc,1,LETICIA FLORES MARTINEZ,Out-p-lost,,pt-morena-pes,0.023241304,0,0,0,,,incumbent out,incumbent out,,
7939,mex-17.006,ALMOLOYA DEL RIO,2021,0,15,15006,15006,pvem,1,ESMERALDA GONZALEZ LAGUNAS,Reran-beaten,,pan-pri-prd,0.036476523,0,,,,,incumbent out,2024,,
7940,mex-18.006,ALMOLOYA DEL RIO,2024,0,15,15006,15006,pna,0,OSCAR GALAN FLORES,2027,JACOB VAZQUEZ CASTILLO,pri,0.13,,,,,,,,,
7944,mex-10.007,AMANALCO,2000,0,15,15007,15007,pri,1,MARIA MERCEDES COLIN GUADARRAMA,Term-limited-p-won,,pan,0.250731107,0,0,0,,,incumbent out,incumbent out,,
7945,mex-11.007,AMANALCO,2003,0,15,15007,15007,pri-pvem,0,PABLO VILCHIS HERNADEZ,Term-limited-p-lost,,prd,0.052798615,0,0,0,,,incumbent out,incumbent out,,
7946,mex-12.007,AMANALCO,2006,0,15,15007,15007,prd-pt-conve,0,RAUL BUSTAMANTE QUINTERO,Term-limited-p-lost,,pri-pvem,0.08794655,0,0,0,,,incumbent out,incumbent out,,
7947,mex-13.007,AMANALCO,2009,0,15,15007,15007,pri-pvem-pna-psd-pfd,0,GERARDO COLIN GUADARRAMA,Term-limited-p-won,,prd,0.158437393,0,0,0,,,incumbent out,incumbent out,,
7948,mex-14.007,AMANALCO,2012,0,15,15007,15007,pri-pvem-pna,0,RAFAEL MERCADO SANCHEZ,Term-limited-p-lost,,prd-pt,0.071415575,0,0,0,,,incumbent out,incumbent out,,
7949,mex-15.007,AMANALCO,2015,0,15,15007,15007,pt,0,RAUL QUINTERO BUSTAMANTE,Out-p-won,,pri-pvem-pna,0.023926751,0,1,1,,,incumbent out,incumbent out,,
7950,mex-16.007,AMANALCO,2018,0,15,15007,15007,pt-morena-pes,1,EMMA COLIN GUADARRAMA,Reran-beaten,,pri,0.104185975,0,0,0,,,incumbent out,pt-morena-pna,,
7951,mex-17.007,AMANALCO,2021,0,15,15007,15007,mc,1,MARIA ELENA MARTINEZ ROBLES,Out-p-lost,,pan-pri-prd,0.023306848,0,,,,,pt-morena-pna,2024,,
7952,mex-18.007,AMANALCO,2024,0,15,15007,15007,pan-pri-prd-pna,1,IRIS LORETO GOMEZ,2027,,mc,0.0704,,,,,,,,detenida 22nov2024,
7956,mex-10.008,AMATEPEC,2000,0,15,15008,15008,pri,0,ELFEGO ROJAS SOLANO,Term-limited-p-lost,,prd,0.323970797,0,0,0,,,incumbent out,incumbent out,,
7957,mex-11.008,AMATEPEC,2003,0,15,15008,15008,prd,0,DIEGO BARRUETA VENCES,Term-limited-p-lost,,pri-pvem,0.01218936,0,0,0,,,incumbent out,incumbent out,,
7958,mex-12.008,AMATEPEC,2006,0,15,15008,15008,pri-pvem,0,RAMON BENITEZ BENITEZ,Term-limited-p-won,,prd,0.117212697,0,0,0,,,incumbent out,incumbent out,,
7959,mex-13.008,AMATEPEC,2009,0,15,15008,15008,pri-pvem-pna-psd-pfd,0,EPIMACO CASIQUE VENECES,Term-limited-p-won,,prd,0.003490666,0,0,0,,,incumbent out,incumbent out,,
7960,mex-14.008,AMATEPEC,2012,0,15,15008,15008,pri-pvem-pna,0,ALFREDO VENCES JAIMES,Term-limited-p-lost,,prd-pt,0.100812098,0,0,0,,,incumbent out,incumbent out,,
7961,mex-15.008,AMATEPEC,2015,0,15,15008,15008,prd,0,JOSE FELIX GALLEGOS HERNANDEZ,Reelected,,pri-pvem-pna,0.151556249,0,0,0,,,incumbent out,prd,,
7962,mex-16.008,AMATEPEC,2018,0,15,15008,15008,pan-prd-mc,0,JOSE FELIX GALLEGOS HERNANDEZ,Term-limited-p-won,,pri,0.142566191,0,1,1,,,prd,incumbent out,,
7963,mex-17.008,AMATEPEC,2021,0,15,15008,15008,pan-pri-prd,0,OBED SANTOS ROJO,Out-p-lost,,pt-morena-pna,0.470681939,0,,,,,incumbent out,2024,,
7964,mex-18.008,AMATEPEC,2024,0,15,15008,15008,pvem-pt-morena,0,EPIMACO CASIQUE VENCES,2027,,pan-pri-prd-pna,0.7713,,,,,,,,,
7968,mex-10.009,AMECAMECA,2000,0,15,15009,15009,prd,0,JOSE FEDERICO DEL VALLE MIRANDA,Term-limited-p-lost,,pri,0.125134034,0,0,0,,,incumbent out,incumbent out,,
7969,mex-11.009,AMECAMECA,2003,0,15,15009,15009,pan,0,ROSENDO GARCIA RODRIGUEZ,Term-limited-p-lost,,prd,0.095415361,0,0,0,,,incumbent out,incumbent out,,
7970,mex-12.009,AMECAMECA,2006,0,15,15009,15009,prd,0,JUAN MANUEL GUERRERO GUTIERREZ,Term-limited-p-lost,,pri-pvem,0.054700656,0,0,0,,,incumbent out,incumbent out,,
7971,mex-13.009,AMECAMECA,2009,0,15,15009,15009,pri-pvem-pna-psd-pfd,0,JUAN DEMETRIO SANCHEZ GRANADOS,Term-limited-p-won,,prd,0.243616919,0,0,0,,,incumbent out,incumbent out,,
7972,mex-14.009,AMECAMECA,2012,0,15,15009,15009,pri-pvem-pna,0,CARLOS SANTOS AMADOR,Term-limited-p-lost,,prd,0.046962821,0,0,0,,,incumbent out,incumbent out,,
7973,mex-15.009,AMECAMECA,2015,0,15,15009,15009,pes,0,ALVARO CARLOS AVELAR LOPEZ,Out-p-lost,,pri-pvem-pna,0.034337933,0,0,0,,,incumbent out,incumbent out,,
7974,mex-16.009,AMECAMECA,2018,0,15,15009,15009,pvem,0,MIGUEL ANGEL SALOMON CORTES,Reran-beaten,,pt-morena-pes,0.096829992,0,0,0,,,incumbent out,pvem,,
7975,mex-17.009,AMECAMECA,2021,0,15,15009,15009,pri,1,IVETTE TOPETE GARCIA,Reelected,,pt-morena-pna,0.065311563,0,,,,,pvem,2024,,
7976,mex-18.009,AMECAMECA,2024,0,15,15009,15009,pri,1,IVETTE TOPETE GARCIA,Term-limited-2027,,morena,0.1176,,,,,,,,,
7980,mex-10.010,APAXCO,2000,0,15,15010,15010,pan,0,JORGE ALBERTO ROMERO MARTINEZ,Term-limited-p-lost,,pri,0.162136536,0,0,0,,,incumbent out,incumbent out,,
7981,mex-11.010,APAXCO,2003,0,15,15010,15010,pri-pvem,0,GUADALUPE HERNANDEZ MENDEZ,Term-limited-p-lost,,pan,0.116270291,0,0,0,,,incumbent out,incumbent out,,
7982,mex-12.010,APAXCO,2006,0,15,15010,15010,pan,0,DANIEL PARRA ANGELES,Term-limited-p-won,,pri-pvem,0.533916624,0,0,0,,,incumbent out,incumbent out,,
7983,mex-13.010,APAXCO,2009,0,15,15010,15010,pan,0,IGNACIO CRUZ GARCIA,Term-limited-p-won,,pri-pvem-pna-psd-pfd,0.036272847,0,0,0,,,incumbent out,incumbent out,,
7984,mex-14.010,APAXCO,2012,0,15,15010,15010,pan,0,DANIEL PARRA ANGELES,Term-limited-p-lost,,pri-pvem-pna,0.286677368,0,1,1,,,incumbent out,incumbent out,,
7985,mex-15.010,APAXCO,2015,0,15,15010,15010,pri-pvem-pna,0,JESUS CRUZ PARRA,Out-p-lost,,mc,0.045771982,0,0,0,,,incumbent out,incumbent out,,
7986,mex-16.010,APAXCO,2018,0,15,15010,15010,pan,0,DANIEL PARRA ANGELES,Out-p-lost,,mc,0.098584906,0,1,1,,,incumbent out,incumbent out,,
7987,mex-17.010,APAXCO,2021,0,15,15010,15010,fxm,0,JESUS GASPAR MONTIEL RODRIGUEZ,Out-p-lost,,pvem,0.287004865,0,,,,,incumbent out,2024,,
7988,mex-18.010,APAXCO,2024,0,15,15010,15010,pt,0,ALEJANDRO RUIZ MARTINEZ,2027,,morena,0.0896,,,,,,,,,
7992,mex-10.011,ATENCO,2000,0,15,15011,15011,pri,0,MARGARITO YAÑEZ RAMOS,Term-limited-p-won,,pan,0.160368295,0,0,0,,,incumbent out,incumbent out,,
7993,mex-11.011,ATENCO,2003,0,15,15011,15011,pri-pvem,0,PASCUAL PINEDA SANCHEZ,Term-limited-p-lost,,prd,0.471005628,0,0,0,,,incumbent out,incumbent out,,
7994,mex-12.011,ATENCO,2006,0,15,15011,15011,prd,0,RUFINO SAUL NOPALTITLA SALES,Term-limited-p-lost,,conve,0.05982362,0,0,0,,,incumbent out,incumbent out,,
7995,mex-13.011,ATENCO,2009,0,15,15011,15011,pri-pvem-pna-psd-pfd,0,MARIO AYALA PINEDA,Term-limited-p-won,,conve,0.062285932,0,0,0,,,incumbent out,incumbent out,,
7996,mex-14.011,ATENCO,2012,0,15,15011,15011,pri-pvem-pna,0,IDELFONSO SILVA VEGA,Term-limited-p-won,,mc,0.097530801,0,0,0,,,incumbent out,incumbent out,,
7997,mex-15.011,ATENCO,2015,0,15,15011,15011,pri-pvem-pna,0,ANDRES RUIZ MENDEZ,Out-p-lost,,pan-pt,0.104473831,0,0,0,,,incumbent out,incumbent out,,
7998,mex-16.011,ATENCO,2018,0,15,15011,15011,morena,0,PORFIRIO HUGO REYES NUÑEZ,Out-p-won,,pri,0.15755122,0,0,0,,,incumbent out,incumbent out,,
7999,mex-17.011,ATENCO,2021,0,15,15011,15011,pt-morena-pna,1,TALIA CITLALI CRUZ SANCHEZ,Reran-beaten,,pri,0.077589318,0,,,,,incumbent out,2024,,
8000,mex-18.011,ATENCO,2024,0,15,15011,15011,morena,0,CESAR DEL VALLE RAMIREZ,2027,JUAN PABLO RIVERO RIVAS,pvem,0.1383,,,,,,,,,
8004,mex-10.012,ATIZAPAN,2000,0,15,15012,15012,pri,0,OCTAVIO ROJAS RAMIREZ,Term-limited-p-lost,,pan,0.124586549,0,0,0,,,incumbent out,incumbent out,,
8005,mex-11.012,ATIZAPAN,2003,0,15,15012,15012,pt,0,FLORIBERTO JUAREZ PORTILLO,Term-limited-p-lost,,pri-pvem,0.155290719,0,0,0,,,incumbent out,incumbent out,,
8006,mex-12.012,ATIZAPAN,2006,0,15,15012,15012,pri-pvem,0,FRANCISCO JAVIER LOPEZ VILLA,Term-limited-p-won,,pan,0.044569165,0,0,0,,,incumbent out,incumbent out,,
8007,mex-13.012,ATIZAPAN,2009,0,15,15012,15012,pri-pvem-pna-psd-pfd,0,MATIAS FLORES AVILA,Term-limited-p-won,,pan,0.113653508,0,0,0,,,incumbent out,incumbent out,,
8008,mex-14.012,ATIZAPAN,2012,0,15,15012,15012,pri-pvem-pna,0,PAUL REYES GUTIERREZ,Term-limited-p-won,,pt,0.144388399,0,0,0,,,incumbent out,incumbent out,,
8009,mex-15.012,ATIZAPAN,2015,0,15,15012,15012,pri,0,GUADALUPE JAVIER PEREZ ARCADIO,Out-p-lost,,pan-pt,0.050955414,0,0,0,,,incumbent out,incumbent out,,
8010,mex-16.012,ATIZAPAN,2018,0,15,15012,15012,pt-morena-pes,0,JOSE GUADALUPE RAMIREZ HERNANDEZ,Out-p-lost,,pvem,0.264323137,0,0,0,,,incumbent out,incumbent out,,
8011,mex-17.012,ATIZAPAN,2021,0,15,15012,15012,pri,0,ISAAC REYES SALAZAR,Out-p-lost,,pt-morena-pna,0.190028902,0,,,,,incumbent out,2024,,
8012,mex-18.012,ATIZAPAN,2024,0,15,15012,15012,morena,0,EMILIO SALAS PEREA,2027,,pt,0.287,,,,,,,,,
8016,mex-10.013,ATIZAPAN DE ZARAGOZA,2000,0,15,15013,15013,pan,0,JUAN ANTONIO DOMINGUEZ ZAMBRANO,Term-limited-p-won,,pri,0.296266033,0,0,0,,,incumbent out,incumbent out,,
8017,mex-11.013,ATIZAPAN DE ZARAGOZA,2003,0,15,15013,15013,pan,0,SALVADOR VAZQUEZ Y HERRERA,Term-limited-p-won,,pri-pvem,0.135109155,0,0,0,,,incumbent out,incumbent out,,
8018,mex-12.013,ATIZAPAN DE ZARAGOZA,2006,0,15,15013,15013,pan,0,GONZALO ALARCON BARDENA,Term-limited-p-lost,,pri-pvem,0.252760469,0,0,0,,,incumbent out,incumbent out,,
8019,mex-13.013,ATIZAPAN DE ZARAGOZA,2009,0,15,15013,15013,pri-pvem-pna-psd-pfd,0,JESUS DAVID CASTAÑEDA DEGADO,Term-limited-p-lost,,pan,0.086347762,0,0,0,,,incumbent out,incumbent out,,
8020,mex-14.013,ATIZAPAN DE ZARAGOZA,2012,0,15,15013,15013,pan,0,PEDRO DAVID RODRIGUEZ VILLEGAS,Term-limited-p-won,,pri-pvem-pna,0.034044149,0,0,0,,,incumbent out,incumbent out,,
8021,mex-15.013,ATIZAPAN DE ZARAGOZA,2015,0,15,15013,15013,pan-pt,1,ANA MARIA BALDERAS TREJO,Reran-beaten,,pri-pvem-pna,0.085553066,0,0,0,,,incumbent out,pan-prd-mc,reran as pan-prd-mc and lost,
8022,mex-16.013,ATIZAPAN DE ZARAGOZA,2018,0,15,15013,15013,pt-morena-pes,1,RUTH OLVERA NIETO,Reran-beaten,ANA MARIA BALDERAS TREJO,pan-prd-mc,0.088563741,0,1,1,,,pan-prd-mc,pt-morena-pna,antes fue alcalde de tlalnepantla,
8023,mex-17.013,ATIZAPAN DE ZARAGOZA,2021,0,15,15013,15013,pan-pri-prd,0,PEDRO DAVID RODRIGUEZ VILLEGAS,Reelected,RUTH OLVERA NIETO,pt-morena-pna,0.208159036,0,,,,,pt-morena-pna,2024,,
8024,mex-18.013,ATIZAPAN DE ZARAGOZA,2024,0,15,15013,15013,pan-pri-prd-pna,0,PEDRO DAVID RODRIGUEZ VILLEGAS,Term-limited-2027,,pvem-pt-morena,0.128,,,,,,,,,
8028,mex-10.014,ATLACOMULCO,2000,0,15,15014,15014,pri,0,JUAN ANTONIO GUZMAN SANCHEZ,Term-limited-p-won,,pan,0.215617912,0,0,0,,,incumbent out,incumbent out,,
8029,mex-11.014,ATLACOMULCO,2003,0,15,15014,15014,pri-pvem,0,NOE BECERRIL COLIN,Term-limited-p-won,,pan,0.253569283,0,0,0,,,incumbent out,incumbent out,,
8030,mex-12.014,ATLACOMULCO,2006,0,15,15014,15014,pri-pvem,0,LUCAS ROGELIO CABALLERO MERAZ,Term-limited-p-won,,pt-conve,0.240351414,0,0,0,,,incumbent out,incumbent out,,
8031,mex-13.014,ATLACOMULCO,2009,0,15,15014,15014,pri-pvem-pna-psd-pfd,0,FIDEL ALMANZA MONROY,Term-limited-p-won,,pan,0.428421378,0,0,0,,,incumbent out,incumbent out,,
8032,mex-14.014,ATLACOMULCO,2012,0,15,15014,15014,pri-pvem-pna,0,ARTURO NEMECIO VELEZ ESCAMILLA,Term-limited-p-won,,pan,0.492347581,0,0,0,,,incumbent out,incumbent out,,
8033,mex-15.014,ATLACOMULCO,2015,0,15,15014,15014,pri-pvem-pna,1,ANA MARIA CHIMAL VELASCO,Out-p-lost,,pt,0.230137704,0,0,0,,,incumbent out,incumbent out,,
8034,mex-16.014,ATLACOMULCO,2018,0,15,15014,15014,pt-morena-pes,0,JOSE MARTIN ROBERTO TELLEZ MONROY,Reran-beaten,,pri,0.211594834,0,0,0,,,incumbent out,pt-morena-pna,,
8035,mex-17.014,ATLACOMULCO,2021,0,15,15014,15014,pan-pri-prd,1,MARISOL DEL SOCORRO ARIAS FLORES,Reran-beaten,JOSE MARTIN ROBERTO TELLEZ MONROY,pt-morena-pna,0.044390743,0,,,,,pt-morena-pna,2024,,
8036,mex-18.014,ATLACOMULCO,2024,0,15,15014,15014,pvem-pt-morena,0,NICOLAS MARTINEZ ROMERO,2027,MARISOL DEL SOCORRO ARIAS FLORES,pan-pri-prd-pna,0.111,,,,,,,,,
8040,mex-10.015,ATLAUTLA,2000,0,15,15015,15015,prd,0,FRANCISCO JAVIER TORRES BAUTISTA,Term-limited-p-lost,,pvem,0.328563141,0,0,0,,,incumbent out,incumbent out,,
8041,mex-11.015,ATLAUTLA,2003,0,15,15015,15015,pri-pvem,0,ANGEL MARIN BARRAGAN,Term-limited-p-lost,,pan,0.116135938,0,0,0,,,incumbent out,incumbent out,,
8042,mex-12.015,ATLAUTLA,2006,0,15,15015,15015,pan,0,RAUL NAVARRO RIVERA,Term-limited-p-lost,,pri-pvem,0.229104649,0,0,0,,,incumbent out,incumbent out,,
8043,mex-13.015,ATLAUTLA,2009,0,15,15015,15015,pri-pvem-pna-psd-pfd,1,MARIA DEL CARMEN CARREÑO GARCIA,Term-limited-p-lost,,pt,0.006013172,0,0,0,,,incumbent out,incumbent out,,
8044,mex-14.015,ATLAUTLA,2012,0,15,15015,15015,pan,0,RAUL NAVARRO RIVERA,Term-limited-p-lost,,pri-pvem-pna,0.018452381,0,1,1,,,incumbent out,incumbent out,,
8045,mex-15.015,ATLAUTLA,2015,0,15,15015,15015,pri-pvem-pna,0,MAURO SANCHEZ MARIN,Out-p-lost,,pan,0.052701249,0,0,0,,,incumbent out,incumbent out,,
8046,mex-16.015,ATLAUTLA,2018,0,15,15015,15015,via_rad,1,DOLORES HERMENEGILDO LOZADA AMARO,Out-p-lost,,pri,0.066960595,0,0,0,,,incumbent out,incumbent out,,
8047,mex-17.015,ATLAUTLA,2022,1,15,15015,15015,prd,1,MARIA DEL CARMEN CARREÑO GARCIA,Out-p-lost,DOLORES HERMENEGILDO LOZADA AMARO,rsp,0.066263641,0,1,1,,,incumbent out,2024,,
8048,mex-18.015,ATLAUTLA,2024,1,15,15015,15015,pvem,0,LUCAS TORRES ROSALES,2027,,prd,0.2209,,,,,,,,,
8052,mex-10.016,AXAPUSCO,2000,0,15,15016,15016,pan,0,FLORENCIO AMAYO PEREZ,Term-limited-p-lost,,pri,0.001542417,0,0,0,,,incumbent out,incumbent out,,
8053,mex-11.016,AXAPUSCO,2003,0,15,15016,15016,pri-pvem,0,JULIAN CID GONZALEZ,Term-limited-p-won,,pan,0.18982827,0,0,0,,,incumbent out,incumbent out,,
8054,mex-12.016,AXAPUSCO,2006,0,15,15016,15016,pri-pvem,0,FELIPE BORJA TEXOCOTITLA,Term-limited-p-lost,,pan,0.029321514,0,1,1,,,incumbent out,incumbent out,,
8055,mex-13.016,AXAPUSCO,2009,0,15,15016,15016,pan,0,FLORENCIO AMAYO PEREZ,Term-limited-p-lost,,pri-pvem-pna-psd-pfd,0.031979005,0,1,1,,,incumbent out,incumbent out,,
8056,mex-14.016,AXAPUSCO,2012,0,15,15016,15016,pri-pvem-pna,0,GUILBERTO RAMIREZ AVILA,Term-limited-p-won,,pan,0.058561838,0,0,0,,,incumbent out,incumbent out,,
8057,mex-15.016,AXAPUSCO,2015,0,15,15016,15016,pri,0,FELIPE BORJA TEXOCOTITLA,Out-p-lost,,pt,0.179767044,0,1,1,,,incumbent out,incumbent out,,
8058,mex-16.016,AXAPUSCO,2018,0,15,15016,15016,pt-morena-pes,0,NOE MARTINEZ JUAREZ,Out-p-lost,,pri,0.086972058,0,0,0,,,incumbent out,incumbent out,,
8059,mex-17.016,AXAPUSCO,2021,0,15,15016,15016,pri,1,MIRIAM CORONEL MENESES,Reran-beaten,,pan,0.172155365,0,,,,,incumbent out,2024,,
8060,mex-18.016,AXAPUSCO,2024,0,15,15016,15016,pvem-pt-morena,0,MELITON CID GALICIA,2027,MIRIAM CORONEL MENESES,pri,0.1054,,,,,,,,,
8064,mex-10.017,AYAPANGO,2000,0,15,15017,15017,pri,0,J GUADALUPE ARMANDO FAUSTINOS GONZALEZ,Term-limited-p-won,,pvem,0.150169205,0,0,0,,,incumbent out,incumbent out,,
8065,mex-11.017,AYAPANGO,2003,0,15,15017,15017,pri-pvem,0,JOSUE GUALBERTO FAUSTINOS RAMIREZ,Term-limited-p-lost,,pt,0.072314934,0,0,0,,,incumbent out,incumbent out,,
8066,mex-12.017,AYAPANGO,2006,0,15,15017,15017,prd,0,GABRIEL ROSAS SILVA,Term-limited-p-lost,,pri-pvem,0.068493151,0,0,0,,,incumbent out,incumbent out,,
8067,mex-13.017,AYAPANGO,2009,0,15,15017,15017,pri-pvem-pna-psd-pfd,0,EDGARDO JULIAN FAUSTINOS RAIREZ,Term-limited-p-won,,pan,0.211513995,0,0,0,,,incumbent out,incumbent out,,
8068,mex-14.017,AYAPANGO,2012,0,15,15017,15017,pri-pvem-pna,0,PEDRO ALFONSO SANCHEZ SOLARES,Term-limited-p-won,,pt,0.027363184,0,0,0,,,incumbent out,incumbent out,,
8069,mex-15.017,AYAPANGO,2015,0,15,15017,15017,pri-pvem-pna,1,MARIANA ELIZABETH PIEDRA BUSTOS,Out-p-lost,,prd,0.040565297,0,0,0,,,incumbent out,incumbent out,,
8070,mex-16.017,AYAPANGO,2018,0,15,15017,15017,pan-prd-mc,0,RENE MARTIN VELAZQUEZ SORIANO,Reelected,,pri,0.476360181,0,0,0,,,incumbent out,prd,,
8071,mex-17.017,AYAPANGO,2021,0,15,15017,15017,prd,0,RENE MARTIN VELAZQUEZ SORIANO,Term-limited-p-won,,pt-morena-pna,0.163891323,0,,,,,prd,incumbent out,,
8072,mex-18.017,AYAPANGO,2024,0,15,15017,15017,prd,0,MARGARITO SORIANO CUADROS,2027,,mc,0.0426,,,,,,,,,
8076,mex-10.018,CALIMAYA,2000,0,15,15018,15018,pri,0,RAYMUNDO JUAN PIÑA RIVAS,Term-limited-p-won,,prd,0.211293406,0,0,0,,,incumbent out,incumbent out,,
8077,mex-11.018,CALIMAYA,2003,0,15,15018,15018,pri-pvem,0,ROBERTO VARGAS MAYA,Term-limited-p-lost,,pan,0.239298428,0,0,0,,,incumbent out,incumbent out,,
8078,mex-12.018,CALIMAYA,2006,0,15,15018,15018,pt,0,OSCAR HERNANDEZ MEZA,Term-limited-p-lost,,pri-pvem,0.039655045,0,0,0,,,incumbent out,incumbent out,,
8079,mex-13.018,CALIMAYA,2009,0,15,15018,15018,pri-pvem-pna-psd-pfd,0,IRAD MERCADO AVILA,Term-limited-p-lost,,pan,0.144455983,0,0,0,,,incumbent out,incumbent out,,
8080,mex-14.018,CALIMAYA,2012,0,15,15018,15018,pt,0,OSCAR VERGARA GOMEZ,Term-limited-p-lost,,pri-pvem-pna,0.032782808,0,0,0,,,incumbent out,incumbent out,,
8081,mex-15.018,CALIMAYA,2015,0,15,15018,15018,pri-pvem-pna,0,ARMANDO LEVI TORRES ARANGUREN,Out-p-lost,,pt,0.102627497,0,0,0,,,incumbent out,incumbent out,,
8082,mex-16.018,CALIMAYA,2018,0,15,15018,15018,pan-prd-mc,0,OSCAR HERNANDEZ MEZA,Reelected,,pt-morena-pes,0.040713824,0,1,1,,,incumbent out,pan-pri-prd,,
